label,number,directional,street_name,street_type,subaddress_id,subaddress_type,zip,status,lat,lon,x,y
438 NE 11TH ST,438,NORTHEAST,11TH,STREET,,,97526,Other,42.4414813541,-123.3108523393,-13726901.2917,5227342.343900003
439 NE 11TH ST,439,NORTHEAST,11TH,STREET,,,97526,Other,42.4414788038,-123.3105170692,-13726863.9696,5227341.959200002
434 NE 11TH ST,434,NORTHEAST,11TH,STREET,,,97526,Other,42.4413623023,-123.3108904962,-13726905.5393,5227324.385399997
435 NE 11TH ST,435,NORTHEAST,11TH,STREET,,,97526,Other,42.4412309025,-123.3105281562,-13726865.2038,5227304.564300001
430 NE 11TH ST,430,NORTHEAST,11TH,STREET,,,97526,Other,42.4412147091,-123.3108712381,-13726903.3955,5227302.121600002
425 NE 11TH ST,425,NORTHEAST,11TH,STREET,,,97526,Other,42.4410944568,-123.3104980564,-13726861.8531,5227283.9821000025
422 NE 11TH ST,422,NORTHEAST,11TH,STREET,,,97526,Other,42.4409336945,-123.3108703308,-13726903.2945,5227259.731899999
421 NE 11TH ST,421,NORTHEAST,11TH,STREET,,,97526,Other,42.4408851691,-123.3104925398,-13726861.239,5227252.412100002
418 NE 11TH ST,418,NORTHEAST,11TH,STREET,,,97526,Other,42.4408032464,-123.3108702266,-13726903.2829,5227240.054499999
417 NE 11TH ST,417,NORTHEAST,11TH,STREET,,,97526,Other,42.4407141778,-123.3105009696,-13726862.1774,5227226.619000003
1100 NE E ST,1100,NORTHEAST,E,STREET,,,97526,Other,42.4374396091,-123.3094694988,-13726747.354600001,5226732.6818
928 NE 12TH ST,928,NORTHEAST,12TH,STREET,,,97526,Other,42.4470083875,-123.3095733908,-13726758.9198,5228176.112499997
924 NE 12TH ST,924,NORTHEAST,12TH,STREET,,,97526,Other,42.4468561669,-123.3095033456,-13726751.1224,5228153.148599997
916 NE 12TH ST,916,NORTHEAST,12TH,STREET,,,97526,Other,42.4467288864,-123.3095412455,-13726755.341400001,5228133.9472
912 NE 12TH ST,912,NORTHEAST,12TH,STREET,,,97526,Other,42.4466088489,-123.3095155806,-13726752.4844,5228115.838500001
910 NE 12TH ST,910,NORTHEAST,12TH,STREET,,,97526,Other,42.4464130684,-123.309500833,-13726750.8427,5228086.303400002
1104 NE MADRONE ST,1104,NORTHEAST,MADRONE,STREET,,,97526,Other,42.4462084519,-123.3100579654,-13726812.862399999,5228055.435400002
1112 NE MADRONE ST,1112,NORTHEAST,MADRONE,STREET,,,97526,Other,42.4461558904,-123.3095775356,-13726759.3812,5228047.506099999
1040 NE MADRONE ST,1040,NORTHEAST,MADRONE,STREET,,,97526,Other,42.4462090472,-123.310631873,-13726876.749499999,5228055.525200002
924 NE 11TH ST,924,NORTHEAST,11TH,STREET,,,97526,Other,42.4469500995,-123.3106236247,-13726875.8313,5228167.319200002
919 NE 11TH ST,919,NORTHEAST,11TH,STREET,,,97526,Other,42.4467254335,-123.3102135527,-13726830.182300001,5228133.426299997
916 NE 11TH ST,916,NORTHEAST,11TH,STREET,,,97526,Other,42.4466050612,-123.3106514985,-13726878.9342,5228115.267099999
915 NE 11TH ST,915,NORTHEAST,11TH,STREET,,,97526,Other,42.446572422,-123.3102509532,-13726834.3457,5228110.343199998
909 NE 11TH ST,909,NORTHEAST,11TH,STREET,,,97526,Other,42.4464247145,-123.3102384217,-13726832.9507,5228088.0603
910 NE 11TH ST,910,NORTHEAST,11TH,STREET,,,97526,Other,42.4463412048,-123.3105922546,-13726872.339200001,5228075.462200001
901 NE 11TH ST,901,NORTHEAST,11TH,STREET,,,97526,Other,42.4462506413,-123.3102374865,-13726832.8466,5228061.799999997
1245 NE 6TH ST,1245,NORTHEAST,6TH,STREET,,,97526,Other,42.4509526737,-123.3217775411,-13728117.479600001,5228771.1642
1313 NE 10TH ST,1313,NORTHEAST,10TH,STREET,,,97526,Other,42.4519107069,-123.312369124,-13727070.1394,5228915.702799998
1303 NE 10TH ST,1303,NORTHEAST,10TH,STREET,,,97526,Other,42.4516660966,-123.3124690158,-13727081.259300001,5228878.798199996
927 NE SAVAGE ST,927,NORTHEAST,SAVAGE,STREET,,,97526,Other,42.4507376053,-123.3137729869,-13727226.4167,5228738.717100002
931 NE SAVAGE ST,931,NORTHEAST,SAVAGE,STREET,,,97526,Other,42.4511680251,-123.3135837119,-13727205.3467,5228803.654100001
937 NE SAVAGE ST,937,NORTHEAST,SAVAGE,STREET,,,97526,Other,42.4513158779,-123.3133336568,-13727177.5107,5228825.960600004
1174 NE 10TH ST,1174,NORTHEAST,10TH,STREET,,,97526,Other,42.4512490255,-123.3129002628,-13727129.2655,5228815.874600001
1173 NE 10TH ST,1173,NORTHEAST,10TH,STREET,,,97526,Other,42.451123478,-123.3124752609,-13727081.9545,5228796.933300003
1170 NE 10TH ST,1170,NORTHEAST,10TH,STREET,,,97526,Other,42.4509804229,-123.312859297,-13727124.7052,5228775.350699998
1171 NE 10TH ST,1171,NORTHEAST,10TH,STREET,,,97526,Other,42.4509807225,-123.3124614107,-13727080.412700001,5228775.395900004
1145 NE 10TH ST,1145,NORTHEAST,10TH,STREET,,,97526,Other,42.4508879341,-123.3120877834,-13727038.820700001,5228761.397
1166 NE 10TH ST,1166,NORTHEAST,10TH,STREET,,,97526,Other,42.4507890534,-123.3128891983,-13727128.0338,5228746.479000002
1165 NE 10TH ST,1165,NORTHEAST,10TH,STREET,,,97526,Other,42.4507793277,-123.3124575865,-13727079.987,5228745.011699997
1152 NE 10TH ST,1152,NORTHEAST,10TH,STREET,,,97526,Other,42.4505679745,-123.3130175603,-13727142.322999999,5228713.125200003
1002 NE PEPPERWOOD DR,1002,NORTHEAST,PEPPERWOOD,DRIVE,,,97526,Other,42.450417525,-123.3123562503,-13727068.7063,5228690.427199997
1003 NE PEPPERWOOD DR,1003,NORTHEAST,PEPPERWOOD,DRIVE,,,97526,Other,42.4500548452,-123.3124369432,-13727077.689,5228635.710699998
1149 NE 10TH ST,1149,NORTHEAST,10TH,STREET,,,97526,Other,42.4507793642,-123.3117524593,-13727001.492600001,5228745.017200001
1014 NE PEPPERWOOD DR,1014,NORTHEAST,PEPPERWOOD,DRIVE,,,97526,Other,42.4504274774,-123.3118047422,-13727007.3127,5228691.9287
1008 NE PEPPERWOOD DR,1008,NORTHEAST,PEPPERWOOD,DRIVE,,,97526,Other,42.4504251343,-123.3120713882,-13727036.9956,5228691.575199999
1008 NE SAVAGE ST,1008,NORTHEAST,SAVAGE,STREET,,,97526,Other,42.451581601,-123.3121357947,-13727044.1653,5228866.050300002
